ZIPCODE,CITY,STATE
10020-3692,DANVILLE,PA
10020-3694,PHILADELPHIA,PA
10020-3706,RALEIGH,NC
10020-3743,ST LOUIS,MO
10020-3754,WINSTON-SALEM,NC
10020-3779,GURNEE,IL
10020-3832,HUNTSVILLE,AL
10020-4054,NEW BRITAIN,CT
10020-4089,PHILADELPHIA,PA
10020-4097,WINSTON-SALEM,NC
10020-4135,EDMOND,OK
10020-4235,PITTSBURGH,PA
10020-4298,BALTIMORE,MD
10020-4369,NEW PALTZ,NY
10020-4431,FAIRFAX,VA
10020-4453,SILVER SPRING,MD
10020-4481,DETROIT,MI
10020-4543,CINCINNATI,OH
10020-4629,HOUSTON,TX
10020-4657,MEMPHIS,TN
10020-4676,MOBILE,AL
10020-4731,ALBUQUERQUE,NM
10020-4760,HOUSTON,TX
10020-4777,HONOLULU,HI
10020-4890,WHEELING,WV
10020-4951,LAKEWOOD,OH
10020-5057,YONKERS,NY
10020-5066,HANOVER,NH
10020-5090,SCOTTSDALE,NY
10020-5108,PHILADELPHIA,PA
10020-5191,CLEVELAND,OH
10020-5198,CHARLESTON,SC
10020-5237,AKRON,OH
10020-5249,WILLIAMSPORT,PA
10020-5397,BARRIE,ON
10020-5439,CHESTNUT HILL,MA
10020-5478,HAWTHORNE,CA
10020-5481,BALTIMORE,MD
10020-5510,CLEVELAND,OH
10020-5524,SACRAMENTO,CA
10020-5540,SPRINGFIELD,MA
10020-5546,TORRANCE,CA
10020-5648,HAVERTOWN,PA
10020-5745,STONY BROOK,NY
10020-5784,KEW GARDENS,NY
10020-5797,CHARLOTTESVILLE,VA
10020-5799,SADDLE BROOK,NJ
10020-5804,LOUISVILLE,KY
10020-5914,RICHMOND,VA
10020-5916,SUNNY ISLES BEA,FL
10020-6027,BOSTON,MA
10020-6126,IOWA CITY,IA
10020-6191,SAN DIEGO,CA
10020-6209,ROUND ROCK,TX
10020-6243,ALTUS,OK
10020-6255,SAN ANTONIO,TX
10020-6269,HOUSTON,TX
10020-6271,GUAYNABO,PR
10020-6334,DURHAM,NC
10020-6487,SACRAMENTO,CA
10020-6498,LOS ANGELES,CA
10020-6509,WATERTOWN,MA
10020-6630,NEW YORK CITY,NY
10020-6651,DENVER,CO
10020-6765,MANHASSET,NY
10020-6767,CHARLOTTESVILLE,VA
10020-6775,LEXINGTON,VA
10020-6797,GREENVILLE,NC
10020-6804,FLORENCE,SC
10020-6855,DETROIT,MI
10020-6864,BIRMINGHAM,AL
10020-6876,CHICAGO,IL
10020-6879,HOUSTON,TX
10020-6896,CINCINNATI,OH
10020-6901,CHICAGO,IL
10020-6950,ROCHESTER,MN
10020-7013,OKLAHOMA CITY,OK
10020-7068,GALVESTON,TX
10020-7070,LUBBOCK,TX
10020-7221,BURLINGTON,MA
10020-7226,WEST HILLS,CA
10020-7325,GUAYNABO,PR
10020-7327,SAN JUAN,PR
10020-7391,STANFORD,CA
10020-7421,WORCESTER,MA
10020-7470,IRVINE,CA
10020-7473,NEW YORK,NY
10020-7488,NEW YORK,NY
10020-7515,STONY BROOK,NY
10020-7517,CINCINNATI,OH
10020-7545,BRONX,NY
10020-7564,PHILADELPHIA,PA
10020-7580,PITTSBURGH,PA
10020-7682,CAMBRIDGE,MA
10020-7734,COLUMBUS,OH
10020-7739,NEW YORK,NY
10020-7770,MACCLESFIELD,NC
10020-7782,CHICAGO,IL
10020-7807,HOPKINS,SC
10020-7831,CHICAGO,IL
10020-7917,LOUISVILLE,KY
10020-8000,ANN ARBOR,MI
10020-8029,HASLETT,MI
10020-8072,MIDLAND,MI
10020-8113,CHULA VISTA,CA
10020-8138,SLC,UT
10020-8139,NEW YORK,NY
10020-8264,DENVER,CO
10020-8292,ROCHESTER,MN
10020-8300,LONDON,ON
10020-8329,OMAHA,NE
10020-8350,TEMPLE,TX
10020-8480,HOUSTON,TX
10020-8486,LOMA LINDA,CA
10020-8512,BOSTON,MA
10020-8537,ATLANTA,GA
10020-8640,CINCINNATI,OH
10020-8647,GLADE SPRING,VA
10020-8803,CHICAGO,IL
10020-8819,CLEVELAND,OH
10020-8882,LANHAM,MD
10020-8889,GLADWYNE,PA
10020-8905,WOODHAVEN,NY
10020-8906,HARRISBURG,PA
10020-8972,KANSAS CITY,MO
10020-8994,INDIANAPOLIS,IN
10020-9003,CINCINNATI,OH
10020-9005,TUCSON,AZ
10020-9048,CHATTANOOGA,TN
10020-9066,CHICAGO,IL
10020-9074,INDIANAPOLIS,IN
10020-9089,CLEVELAND,OH
10020-9094,PHILADELPHIA,PA
10020-9101,CINCINNATI,OH
10020-9104,SAN ANTONIO,TX
10020-9167,MEMPHIS,TN
10020-9207,HOUSTON,TX
10020-9225,PHOENIX,AZ
10020-9261,JACKSONVILLE,FL
10020-9285,PARRY SOUND,ON
10020-9303,KANSAS CITY,MO
10020-9330,SHREVEPORT,LA
10020-9376,LOS ANGELES,CA
10020-9384,CHICAGO,IL
10020-9401,TRAVERSE CITY,MI
10020-9408,BIRDSBORO,PA
10020-9463,COLUMBUS,OH
10020-9465,GAINESVILLE,FL
10020-9549,ROCHESTER,MN
10020-9582,FOSTER CITY,CA
10020-9613,BOSTON,MA
10020-9678,NEW HAVEN,CT
10020-9697,PHILADELPHIA,PA
10020-9715,PITTSFIELD,MA
10020-9720,ROCHESTER,NY
10020-9721,WOLCOTT,CT
10020-9723,GALVESTON,TX
10020-9727,CANFIELD,OH
10020-9740,PITTSBURGH,PA
10020-9741,FRESH MEADOWS,NY
10020-9780,ROCHESTER,NY
10020-9800,INDIANAPOLIS,IN
10020-9846,PENNSAUKEN,NJ
10020-9997,BOWIE,MD
10030-0011,BALTIMORE,MD
10030-0091,BIRMINGHAM,AL
10030-0098,NASHVILLE,TN
10030-0102,CHESTERFIELD,MO
10030-0109,BROOKLYN,NY
10030-0120,COLUMBUS,GA
10030-0121,CHICAGO,IL
10030-0147,DURHAM,NC
10030-0170,VOORHEES,NJ
10030-0197,NEW ORLEANS,LA
10030-0198,VAN NUYS,CA
10030-0231,SEATTLE,WA
10030-0245,TUCSON,AZ
10030-0246,MANHASSET,NY
10030-0277,KANSAS CITY,MO
10030-0298,CHAMPAIGN,IL
10030-0333,GALVESTON,TX
10030-0358,SAN DIEGO,CA
10030-0386,LOS ANGELES,CA
10030-0390,GREENWOOD,IN
10030-0398,LEXINGTON,KY
10030-0401,DENVER,CO
10030-0418,GAINESVILLE,FL
10030-0484,NEW ORLEANS,LA
10030-0538,FOREST HILLS,NY
10030-0553,BRANDON,FL
10030-0560,ABILENE,TX
10030-0609,NEW HAVEN,CT
10030-0636,LACKLAND AFB,TX
10030-0644,LA CROSSE,WI
10030-0649,TOPEKA,KS
10030-0650,PEORIA,IL
10030-0741,METAIRIE,LA
10030-0746,PORTLAND,OR
10030-0749,ALBUQUERQUE,NM
10030-0777,SEATTLE,WA
10030-0810,SAN FRANCISCO,CA
10030-0867,BOSTON,MA
10030-0889,SAN MARINO,CA
10030-0925,INDIANAPOLIS,IN
10030-0934,SPOKANE,WA
10030-0958,WYOMISSING,PA
10030-0963,BROOKLYN,NY
10030-0971,GAINESVILLE,FL
10030-0978,BROOKLYN,NY
10030-0999,CULVER CITY,CA
10030-1078,WYNNEWOOD,PA
10030-1104,NEW YORK,NY
10030-1115,CAMBRIDGE,MA
10030-1155,YONKERS,NY
10030-1165,POINT LOOKOUT,NY
10030-1175,CHICAGO,IL
10030-1210,HILLSBOROUGH,NJ
10030-1236,WEST ORANGE,NJ
10030-1252,SACRAMENTO,CA
10030-1253,LOS ANGELES,CA
10030-1254,STAR CITY,WV
10030-1262,NEW YORK,NY
10030-1267,DETROIT,MI
10030-1292,BALTIMORE,MD
10030-1297,NEW ORLEANS,LA
10030-1302,BOSTON,MA
10030-1327,MONMOUTH JCT,NJ
10030-1341,ORLANDO,FL
10030-1344,CINCINNATI,OH
10030-1349,NEW YORK,NY
10030-1433,LOUISVILLE,KY
10030-1460,TORRANCE,CA
10030-1471,MAYWOOD,IL
10030-1473,MILWAUKEE,WI
10030-1486,NEW YORK,NY
10030-1487,MIAMISBURG,OH
10030-1505,ROCHESTER,MN
10030-1528,DETROIT,MI
10030-1544,ANN ARBOR,MI
10030-1557,SAN FRANCISCO,CA
10030-1576,TEMPLE,TX
10030-1582,HOUSTON,TX
10030-1597,BIRMINGHAM,AL
10030-1618,HOUSTON,TX
10030-1649,NEWARK,NJ
10030-1651,OKLAHOMA,OK
10030-1671,WASHINGTON,DC
10030-1685,NEWARK,DE
10030-1703,INDIANAPOLIS,IN
10030-1765,PHILADELPHIA,PA
10030-1856,LOS ANGELES,CA
10030-1902,PORTLAND,OR
10030-1968,LA CRESCENTA,CA
10030-2011,PHILADELPHIA,PA
10030-2019,COLORADO SPRING,CO
10030-2042,HUNTINGTON,WV
10030-2061,COLUMBUS,OH
10030-2132,"COLUMBIA,",SC
10030-2174,NEW ORLEANS,LA
10030-2177,PITTSBURGH,PA
10030-2182,"REGO PARK,",NY
10030-2200,NY,NY
10030-2230,DETROIT,MI
10030-2253,PHILADELPHIA,PA
10030-2255,HEAD OF THE HAR,NY
10030-2280,NEW YORK,NY
10030-2302,NEW HYDE PARK,NY
10030-2313,FAR ROCKAWAY,NY
10030-2318,PORTLAND,OR
10030-2334,BRENTWOOD,MO
10030-2353,NEW YORK,NY
10030-2414,BOSTON,MA
10030-2456,LOUISVILLE,KY
10030-2478,BLACKSTONE,VA
10030-2558,WINSTON-SALEM,NC
10030-2582,RAEFORD,NC
10030-2594,BIRMINGHAM,AL
10030-2596,OMAHA,NE
10030-2607,WINSTON-SALEM,NC
10030-2634,COLUMLBIA,MO
10030-2646,HUNTINGTON BEAC,CA
10030-2673,ITHACA,NY
10030-2711,CLEVELAND HEIGH,OH
10030-2755,INDIANAPOLIS,IN
10030-2767,VAN NUYS,CA
10030-2856,ANN ARBOR,MI
10030-2896,RICHMOND,VA
10030-2920,MILWAUKE,WI
10030-2921,SEATTLE,WA
10030-2926,LEXINGTON,KY
10030-2988,JACKSON,MS
10030-3043,BIRMINGHAM,AL
10030-3047,BIRMINGHAM,AL
10030-3089,PEARLAND,TX
10030-3112,HOUSTON,TX
10030-3134,ST. LOUIS,MO
10030-3135,HOUSTON,TX
10030-3145,HOUSTON,TX
10030-3185,EDMONTON,AB
10030-3186,DURHAM,NC
10030-3189,HOUSTON,TX
10030-3195,MINNEAPOLIS,MN
10030-3213,BOLTON,ON
10030-3228,TORONTO,ON
10030-3238,MILWAUKEE,WI
10030-3247,DENVER,CO
10030-3271,MADISON,WI
10030-3318,CHICAGO,IL
10030-3452,NEWARK,NJ
10030-3468,PHILDELPHIA,PA
10030-3469,ORANGE,CA
10030-3496,HARTFORD,CT
10030-3530,COLUMBUS,OH
10030-3548,YOUNGSTOWN,OH
10030-3555,FORT LAUDERDALE,FL
10030-3609,MANHASSET,NY
10030-3611,INDIANAPOLIS,IN
10030-3639,NEW YORK,NY
10030-3647,BROOKLYN,NY
10030-3670,CLEVELAND,OH
10030-3673,WEBSTER,TX
10030-3675,NEW YORK,NY
10030-3715,BRONX,NY
10030-3720,OCEAN,NJ
10030-3733,SAVANNAH,GA
10030-3742,BROOKLYN,NY
10030-3753,PLANO,TX
10030-3772,WILMINGTON,DE
10030-3773,CLEVELAND,OH
10030-3783,PHILADELPHIA,PA
10030-3810,KANSAS CITY,LA
10030-3813,LOUISVILLE,KY
10030-3830,SOMERSET,NJ
10030-3882,WASHINGTON,DC
10030-3884,VIDALIA,GA
10030-3898,BETHESDA,MD
10030-3904,NEW BRITAIN,CT
10030-3935,DETROIT,MI
10030-3940,LOS ANGELES,CA
10030-3987,ROCHESTER,NY
10030-4006,DETROIT,MI
10030-4030,SALT LAKE CITY,UT
10030-4050,NEW YORK,NY
10030-4072,PHOENIX,AZ
10030-4117,COLUMBIA,MO
10030-4121,ENID,OK
10030-4145,PHOENIX,AZ
10030-4166,SAN ANTONIO,TX
10030-4181,BUFFALO,NY
10030-4279,CLEVELAND,OH
10030-4299,SOUTH BEND,IN
10030-4346,SAN FRANCISCO,CA
10030-4354,WORCESTER,MA
10030-4378,SAN DIEGO,CA
10030-4386,ORANGE,CA
10030-4393,RESEDA,CA
10030-4397,SANTA MONICA,CA
10030-4453,PRINCETON,NJ
10030-4522,JOSHUA TREE,CA
10030-4551,SURREY,BC
10030-4574,BANGOR,ME
10030-4580,NEW YORK,NY
10030-4588,NEW HAVEN,CT
10030-4592,CATONSVILLE,MD
10030-4617,NEW YORK,NY
10030-4620,PITTSBURGH,PA
10030-4647,BOSTON,MA
10030-4656,BRONX,NY
10030-4657,NEW HAVEN,CT
10030-4689,PHILADELPHIA,PA
10030-4697,PORT CHESTER,NY
10030-4708,MIDVALE,UT
10030-4719,SYRACUSE,NY
10030-4731,NEW YORK,NY
10030-4757,MANHASSET,NY
10030-4768,HOLMDEL,NJ
10030-4772,NEW YORK,NY
10030-4868,HUMMELSTOWN,PA
10030-4871,RICHMOND,VA
10030-4887,ROCHESTER,NY
10030-4891,GLEN ALLEN,VA
10030-4913,ROSELLE PARK,NJ
10030-4926,LACKLAND AFB,TX
10030-4940,NEW YORK,NY
10030-4956,FAIRFAX,VA
10030-4967,FAIRFAX,VA
10030-4999,CHICAGO,IL
10030-5026,CHARLOTTE,NC
10030-5033,WINSTON SALEM,NC
10030-5088,KEESLER AFB,MS
10030-5103,BERKELEY,NM
10030-5104,MIAMI,FL
10030-5107,OXFORD,OH
10030-5128,CHICAGO,IL
10030-5212,KALAMAZOO,MI
10030-5226,OAK PARK,LA
10030-5237,DETROIT,MI
10030-5264,OAK PARK,IL
10030-5326,BRONX,NY
10030-5353,BOSTON,MA
10030-5378,LOUISVILLE,KY
10030-5396,NASHVILLE,TN
10030-5431,BIRMINGHAM,AL
10030-5450,JACKSON,MS
10030-5477,METAIRIE,LA
10030-5486,OMAHA,NE
10030-5491,SHREVEPORT,LA
10030-5509,DALLAS,TX
10030-5512,BALTIMORE,MD
10030-5525,SAN DIEGO,CA
10030-5544,METAIRIE,LA
10030-5553,OKLAHOMA CITY,OK
10030-5558,TEMPLE,TX
10030-5562,SEATTLE,WA
10030-5580,MADISON,WI
10030-5609,CHARLESTON,SC
10030-5611,LACKLAND AFB,TX
10030-5631,BALTIMORE,MD
10030-5634,HOUSTON,TX
10030-5636,MINNEAPOLIS,MN
10030-5657,WINTER SPRINGS,FL
10030-5659,CHICAGO,IL
10030-5681,PHILADELPHIA,PA
10030-5687,JACKSON,TN
10030-5731,COCKEYSVILLE,MD
10030-5797,PLAYA DEL REY,CA
10030-5818,BERKELEY,CA
10030-5851,CHEYENNE,WY
10030-5862,REDWOOD CITY,CA
10030-5875,CALABASAS,CA
10030-5881,BROOKLINE,MA
10030-5916,BALTIMORE,MD
10030-5929,SACRAMENTO,CA
10030-5961,ELMHURST,NY
10030-5985,BROOKLYN,NY
10030-5995,WASHINGTON,DC
10030-6015,MIAMI,FL
10030-6030,BALTIMORE,MD
10030-6042,WINSTON-SALEM,NC
10030-6051,PHOENIX,AZ
10030-6068,OAKLAND,CA
10030-6082,STATEN ISLAND,NY
10030-6089,QUINCY,IL
10030-6154,JERSEY CITY,NJ
10030-6242,LEXINGTON,KY
10030-6249,E. ORANGE,NJ
10030-6250,SPRINGFIELD,MA
10030-6266,WORCESTER,MA
10030-6291,NEWARK,NJ
10030-6334,PHILADELPHIA,PA
10030-6341,DAYTON,OH
10030-6348,HERSHEY,PA
10030-6369,BALTIMORE,MD
10030-6371,BANGOR,ME
10030-6379,LANHAM,MD
10030-6411,CLEVELAND,OH
10030-6427,CLINTON,NC
10030-6454,BIRMINGHAM,AL
10030-6493,JACKSONVILLE,FL
10030-6516,MAYWOOD,IL
10030-6527,CLEVELAND,OH
10030-6583,GLENVIEW,IL
10030-6596,CHICAGO,IL
10030-6605,NEW HAVEN,CT
10030-6626,DETROIT,MI
10030-6645,DETROIT,MI
10030-6649,LAGRANGE,IL
10030-6653,NORTH MIAMI,FL
10030-6659,MILWAUKEE,WI
10030-6663,MADISON,WI
10030-6683,CHICAGO,IL
10030-6700,PHOENIX,AZ
10030-6708,MATTHEWS,NC
10030-6718,HEFLIN,AL
10030-6755,BATON ROUGE,LA
10030-6758,JOPLIN,MO
10030-6768,OMAHA,NE
10030-6777,GAINESVILLE,FL
10030-6912,RICHMOND HILL,ON
10030-6950,COLUMBUS,OH
10030-6975,RENO,NV
10030-7039,NEW YORK,NY
10030-7057,THOUSAND OAKS,CA
10030-7076,BERKELEY,CA
10030-7094,GARDEN GROVE,CA
10030-7150,RIO PIEDRAS,PR
10030-7153,RIO PIEDRAS,PR
10030-7158,DEARBORN,MI
10030-7159,DUBLIN,OH
10030-7187,AUGUSTA,GA
10030-7193,PORTSMITH,VA
10030-7197,CINCINNATI,OH
10030-7264,SAN FRANCISCO,CA
10030-7274,CALGARY,AB
10030-7280,CONROE,TX
10030-7295,VANCOUVER,BC
10030-7305,CHICAGO,IL
10030-7309,NORFOLK,VA
10030-7314,ARLINGTON,MA
10030-7342,BALTIMORE,MD
10030-7370,YORK,PA
10030-7375,ST. LOUIS,MO
10030-7394,HOLLISWOOD,NY
10030-7401,ITHACA,NY
10030-7413,NEW YORK,NY
10030-7477,BRONX,NY
10030-7488,BROOKLYN,NY
10030-7520,BRONX,NY
10030-7526,NEW YORK,NY
10030-7534,NEW YORK,NC
10030-7558,COLTON,CA
10030-7569,NEW BRITAIN,CT
10030-7571,FAIR LAWN,NJ
10030-7575,EDISON,NJ
10030-7596,BALTIMORE,MD
10030-7597,BROOKLYN,NY
10030-7613,NEW BRUNSWICK,NJ
10030-7621,PITTSBURGH,PA
10030-7623,LOS ANGELES,CA
10030-7631,UPPER FREEHOLD,NJ
10030-7634,BALTIMORE,MD
10030-7646,ALTOONA,PA
10030-7652,PHILADELPHIA,PA
10030-7695,COLUMBUS,OH
10030-7710,KETTERING,OH
10030-7786,GREENVILLE,NC
10030-7800,MONROR,NC
10030-7861,PARK RIDGE,IL
10030-7864,BENSALEM,PA
10030-7921,CANFIELD,OH
10030-7930,PITTSBURGH,PA
10030-7971,JERSEY CITY,NJ
10030-7983,KENILWORTH,IL
10030-7993,CHARLESTON,WV
10030-8041,BOSTON,MA
10030-8048,PASADENA,CA
10030-8056,INDIANAPOLIS,IN
10030-8065,ROCKFORD,IL
10030-8066,LOS ANGELES,CA
10030-8114,ELLENWOOD,GA
10030-8124,JACKSONVILLE,FL
10030-8138,LINCOLN PARK,MI
10030-8171,CLEVELAND,OH
10030-8178,ERLANGER,KY
10030-8192,ROME,GA
10030-8199,MEMPHIS,TN
10030-8241,FORT WORTH,TX
10030-8295,ALEXANDRIA,LA
10030-8324,STILLWATER,OK
10030-8350,CAMBRIDGE,MA
10030-8385,FORT WORTH,TX
10030-8390,CINCINNATI,OH
10030-8443,GALVESTON,TX
10030-8467,TUCSON,AZ
10030-8469,KINGSTON,ON
10030-8483,OMAHA,NE
10030-8499,OKLAHOMA CITY,OK
10030-8504,FT BENNING,SC
10030-8528,BETHLEHEM,PA
10030-8599,ORANGE,CA
10030-8605,CLEVELAND,OH
10030-8606,PHILADELPHIA,PA
10030-8614,SEATTLE,WA
10030-8620,OAKLAND,CA
10030-8666,CITRUS HEIGHTS,CA
10030-8670,SOMERVILLE,NJ
10030-8682,TORRANCE,CA
10030-8693,UTICA,NY
10030-8698,MARQUETTE,MI
10030-8726,MILWAUKEE,WI
10030-8729,KANSAS CITY,MO
10030-8742,BRONX,NY
10030-8744,BAYAMON,PR
10030-8758,HOUSTON,TX
10030-8780,BELMAR,NJ
10030-8784,TAMPA,FL
10030-8790,MILWAUKEE,WI
10030-8814,WICHITA,KS
10030-8827,CHICAGO,IL
10030-8863,LOS ANGELES,CA
10030-8876,MILWAUKEE,WI
10030-8879,SAN DIEGO,CA
10030-8914,VANCOUVER,BC
10030-8931,NEW YORK,NY
10030-8965,JOHNSON CITY,NY
10030-8982,PHILADELPHIA,PA
10030-8993,BAYSIDE,NY
10030-9005,MORGANTOWN,WV
10030-9009,NEW YORK,NY
10030-9023,BOCA RATON,FL
10030-9028,HOLLIS,NY
10030-9029,NEW YORK,NY
10030-9063,EMERSON,NJ
10030-9092,CLIFFSIDE PARK,NJ
10030-9124,PHILADELPHIA,PA
10030-9157,GALVESTON,TX
10030-9173,ARLINGTON,VA
10030-9214,ORLANDO,FL
10030-9220,DURHAM,NC
10030-9225,LENOIR,NC
10030-9255,MILWAUKEE,WI
10030-9277,MONTREAL,PQ
10030-9283,GAINESVILLE,FL
10030-9287,CLEVELAND,OH
10030-9305,BOSTON,MA
10030-9335,BALTIMORE,MD
10030-9336,CLEVELAND,OH
10030-9378,GRAND BLANC,MI
10030-9471,CARBONDALE,IL
10030-9477,RICHMOND,VA
10030-9500,AUGUSTA,GA
10030-9522,METAIRIE,LA
10030-9531,LAFAYETTE,LA
10030-9544,OKLAHOMA CITY,OK
10030-9554,SHREVEPORT,LA
10030-9563,DETROIT,MI
10030-9607,WILMINGTON,OH
10030-9640,BIRMINGHAM,AL
10030-9650,BOSTON,MA
10030-9688,ST CATHARINES,ON
10030-9761,QUINCY,IL
10030-9769,NEW YORK,NY
10030-9779,DUNWOODY,GA
10030-9781,PASCO,WA
10030-9835,SAN FRANCISCO,CA
10030-9836,BERKELEY,CA
10030-9851,ATLANTA,GA
10030-9868,ROCHESTER,NY
10030-9877,BOSTON,MA
10030-9909,CAROLINA,PR
10030-9924,BALTIMORE,MD
10030-9942,WEEHAWKEN,NJ
10030-9945,HIALEAH,FL
10030-9953,LOXAHATCHEE,FL
10030-9977,RIVER RIDGE,LA
10030-9987,BALTIMORE,MD
10030-9992,ONTARIO,CA
10040-0042,EDMONTON,AB
10040-0078,MIAMI BEACH,FL
10040-0091,AUGUSTA,ME
10040-0123,PHILADELPHIA,PA
10040-0134,READING,PA
10040-0146,SYRACUSE,NY
10040-0155,BROOKLYN,NY
10040-0183,SYRACUSE,NY
10040-0189,BOSTON,MA
10040-0195,STATEN ISLAND,NY
10040-0224,CLEVELAND,OH
10040-0247,MINEOLA,NY
10040-0260,FLUSHING,NY
10040-0262,LACKLAND AFB,TX
10040-0291,CLIFTON,NJ
10040-0321,FORT GORDON,GA
10040-0357,SCRANTON,PA
10040-0363,ORWIGSBURG,PA
10040-0370,SAYRE,PA
10040-0393,PITTSBURGH,PA
10040-0414,PHILADELPHIA,PA
10040-0423,DUNMORE,PA
10040-0427,WARWICK,RI
10040-0433,PITTSBURGH,PA
10040-0463,PHILADELPHIA,PA
10040-0490,CHESAPEAKE,VA
10040-0496,GREENVILLE,SC
10040-0504,RICHMOND,VA
10040-0507,NORFOLK,VA
10040-0525,MORGANTOWN,WV
10040-0542,HUNTINGTON,WV
10040-0544,HERSHEY,PA
10040-0545,ATLANTA,GA
10040-0573,DURHAM,NC
10040-0617,AUGUSTA,GA
10040-0650,LOS ANGELES,CA
10040-0670,CINCINNATI,OH
10040-0698,FORT WAYNE,IN
10040-0778,SAGINAW,MI
10040-0811,DETROIT,MI
10040-0812,ARLINGTON,VA
10040-0826,DETROIT,MI
10040-0832,DETROIT,MI
10040-0852,BIRMINGHAM,AL
10040-0886,CHAMPAIGN,IL
10040-0942,BIRMINGHAM,AL
10040-0962,NEW ORLEANS,LA
10040-1008,BIRMINGHAM,AL
10040-1013,BATON ROUGE,LA
10040-1025,PHILADELPHIA,PA
10040-1033,OKLAHOMA CITY,OK
10040-1036,BROKEN ARROW,OK
10040-1049,LOUISVILLE,KY
10040-1054,HOUSTON,TX
10040-1104,SAN ANTONIO,TX
10040-1117,HOUSTON,TX
10040-1125,HOUSTON,TX
10040-1126,GALVESTON,TX
10040-1169,STERLING HGTS,MI
10040-1217,FORT HOOD,TX
10040-1219,PHOENIX,AZ
10040-1236,DALLAS,TX
10040-1251,TULSA,OK
10040-1293,RENO,NV
10040-1357,SOUTH RIDING,VA
10040-1369,CONCORD,CA
10040-1376,BROOKLYN,NY
10040-1377,BELLFLOWER,CA
10040-1397,PORTERVILLE,CA
10040-1416,INDIANAPOLIS,IN
