Federal Provider Number,Provider Name,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,RN Staffing Rating,Processing Date
56317,GLENOAKS CONVALESCENT HOSPITAL,4,2,5,4,5,4/1/2016
56350,OAKGROVE SPRINGS CARE CENTER,3,2,3,4,4,4/1/2016
56416,MAYERS MEMORIAL HOSPITAL,2,1,2,4,4,4/1/2016
56478,LIGHTHOUSE  HEALTHCARE CENTER,3,3,4,3,2,4/1/2016
05A109,COMMUNITY CARE CENTER,5,4,5,4,3,4/1/2016
05A110,GRACE HOME INC.,2,2,4,2,1,4/1/2016
05A198,PORTERVILLE DEVELOPMENTAL CENTER,4,2,5,5,5,4/1/2016
05A213,SONOMA DEVELOPMENTAL CENTER D/P SNF,4,2,5,5,5,4/1/2016
65121,"PAVILION AT VILLA PUEBLO, THE",3,2,4,4,5,4/1/2016
65225,COLONIAL COLUMNS NURSING CENTER,1,1,1,4,5,4/1/2016
65237,HERITAGE PARK CARE CENTER,4,2,5,5,5,4/1/2016
65264,WALBRIDGE MEMORIAL CONVALESCENT WING,4,4,1,5,5,4/1/2016
65292,"REHABILITATION CENTER AT SANDALWOOD,THE",5,5,5,4,4,4/1/2016
65311,UPTOWN HEALTH CARE CENTER,4,4,3,4,5,4/1/2016
65324,FRASIER MEADOWS HEALTH CARE CENTER,5,4,5,5,5,4/1/2016
65333,CRIPPLE CREEK CARE CENTER,4,4,3,3,5,4/1/2016
65368,LIFE CARE CENTER OF GREELEY,5,5,5,4,5,4/1/2016
65379,BROOMFIELD SKILLED NURSING AND REHABILITATION CTR,1,1,3,3,4,4/1/2016
65374,BROOKDALE GREEN MOUNTAIN,5,5,5,4,5,4/1/2016
65388,ST ANDREWS VILLAGE-LTC,4,3,3,5,5,4/1/2016
06A190,SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER,5,3,5,5,5,4/1/2016
06A088,LITTLE SISTERS OF THE POOR MULLEN HOME,5,4,5,5,5,4/1/2016
75013,CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,4,4,4,3,3,4/1/2016
75011,"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",2,2,2,3,3,4/1/2016
75102,MERIDIAN MANOR,4,2,5,4,4,4/1/2016
75109,HEBREW HOME AND HOSPITAL INC,2,2,4,3,5,4/1/2016
75163,BISHOP WICKE HEALTH & REHAB CT,5,4,5,5,5,4/1/2016
75236,NOBLE HORIZONS,5,4,4,5,5,4/1/2016
75251,TOUCHPOINTS AT FARMINGTON,4,3,4,4,4,4/1/2016
75267,CROSSINGS WEST HEALTH AND REHABILITATION CENTER,3,2,2,4,4,4/1/2016
75278,WEST HARTFORD HEALTH & REHABILITATION CENTER,4,3,5,3,3,4/1/2016
75293,JEFFERSON HOUSE,5,5,5,4,5,4/1/2016
75313,GLADEVIEW HEALTH CARE CENTER,3,3,4,3,5,4/1/2016
75309,GREENWICH WOODS REHABILITATION,5,3,5,4,4,4/1/2016
75355,"MASONICARE AT NEWTOWN, INC",4,2,5,5,5,4/1/2016
75366,HAMDEN HEALTH CARE CENTER,5,4,5,4,4,4/1/2016
75362,EVERGREEN WOODS,4,3,3,4,5,4/1/2016
75396,CHERRY BROOK HEALTH CARE CENTE,4,3,4,4,4,4/1/2016
75415,COUNTRYSIDE MANOR OF BRISTOL,4,2,5,4,5,4/1/2016
75422,PARADIGM HEALTHCARE CENTER OF SOUTH WINDSOR,2,1,5,4,4,4/1/2016
95039,UNITED MEDICAL NURSING HOME,2,1,3,4,4,4/1/2016
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,4,4,4,4,4,4/1/2016
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1,1,4,1,1,4/1/2016
105205,MANOR OAKS NURSING & REHABILITATION CENTER,4,3,3,4,4,4/1/2016
105274,CLEARWATER CENTER,3,3,3,3,2,4/1/2016
105311,DAYTONA BEACH HEALTH AND REHABILITATION CENTER,2,1,4,4,4,4/1/2016
105423,"TERRACE OF JACKSONVILLE, THE",5,5,4,4,4,4/1/2016
105419,WEST BAY OF TAMPA,4,4,4,3,3,4/1/2016
105443,BAY BREEZE HEALTH AND REHABILITATION CENTER,2,2,2,3,3,4/1/2016
105458,SIGNATURE HEALTHCARE OF ORMOND,2,1,5,1,1,4/1/2016
105514,DEBARY HEALTH AND REHABILITATION CENTER,5,4,5,3,3,4/1/2016
105549,CONSULATE HEALTH CARE OF SAFETY HARBOR,2,3,1,2,1,4/1/2016
105558,RENAISSANCE HEALTH AND REHABILITATION,1,1,3,3,3,4/1/2016
105581,PALM GARDEN OF CLEARWATER,4,2,5,4,4,4/1/2016
105599,HEARTLAND OF ZEPHYRHILLS,4,3,5,3,3,4/1/2016
105609,HEARTLAND OF TAMARAC,2,2,4,3,3,4/1/2016
105641,HEARTLAND HEALTH CARE CENTER KENDALL,3,2,5,2,2,4/1/2016
105645,BARTRAM CROSSING,5,5,4,4,4,4/1/2016
105682,PALM GARDEN OF JACKSONVILLE,2,3,1,3,2,4/1/2016
105713,ALPINE HEALTH AND REHABILITATION CENTER,5,4,5,4,3,4/1/2016
105727,WASHINGTON REHABILITATION AND NURSING CENTER,5,4,5,4,3,4/1/2016
105743,FLEET LANDING,5,5,5,4,3,4/1/2016
105851,STRATFORD COURT OF BOCA RATON,3,2,5,3,3,4/1/2016
105891,YBOR CITY HEALTHCARE AND REHABILITATION CENTER,4,4,3,4,3,4/1/2016
105937,GOOD SAMARITAN SOCIETY-FLORIDA LUTHERAN,5,5,4,4,5,4/1/2016
105974,LIFE CARE CENTER OF ORLANDO,5,4,5,4,4,4/1/2016
106009,CROSS CITY REHABILITATION & HEALTH CARE CENTER,4,2,5,4,3,4/1/2016
106022,BROOKDALE PALMER RANCH SNF,2,1,4,4,4,4/1/2016
106045,BRYNWOOD HEALTH AND REHABILITATION CENTER,5,5,4,3,2,4/1/2016
106057,LIFE CARE CENTER OF ESTERO,5,3,5,4,3,4/1/2016
106063,GLENRIDGE ON PALMER RANCH INC.,5,4,5,5,5,4/1/2016
106075,GRACE REHABILITATION CENTER OF VERO BEACH,5,3,5,4,4,4/1/2016
106089,KEY WEST HEALTH AND REHABILITATION CENTER,3,2,3,5,5,4/1/2016
106095,CLUB HEALTH AND REHABILITATION CENTER AT THE VILLA,5,4,5,4,4,4/1/2016
106096,"PAVILION FOR HEALTH CARE, THE",5,5,2,4,5,4/1/2016
106105,SKYTOP VIEW REHABILTATION CENTER,,,,,,4/1/2016
115099,HABERSHAM HOME,4,3,5,3,3,4/1/2016
115104,NHC HEALTHCARE ROSSVILLE,3,2,5,3,3,4/1/2016
115206,SIGNATURE HEALTHCARE OF MARIETTA,5,4,5,3,3,4/1/2016
115146,ORCHARD VIEW REHABILITATION & SKILLED NURSING CTR,1,1,1,,,4/1/2016
115271,EARLY MEMORIAL NURSING HOME,3,2,5,2,1,4/1/2016
115273,DOUGLASVILLE NURSING AND REHABILITATION CENTER,2,4,1,1,1,4/1/2016
115275,"A.G. RHODES HOME, INC, THE",5,4,5,2,1,4/1/2016
115289,COMER HEALTH AND REHABILITATION,2,3,3,1,2,4/1/2016
115296,LENBROOK,5,4,3,5,5,4/1/2016
115308,"PLACE AT MARTINEZ, THE",2,2,3,2,1,4/1/2016
115340,"CALHOUN HEALTH CARE CTR, INC",5,4,5,3,3,4/1/2016
115341,RIDGEWOOD MANOR HEALTH AND REHABILITATION,5,5,4,2,3,4/1/2016
115357,OCONEE HEALTH AND REHABILITATION,5,4,5,2,3,4/1/2016
115363,GOLDEN LIVINGCENTER - ROME,5,4,5,2,2,4/1/2016
115382,SPARTA HEALTH AND REHABILITATION,5,5,5,2,2,4/1/2016
115418,PRUITTHEALTH - FORSYTH,5,5,5,2,2,4/1/2016
115467,UNIVERSITY NURSING & REHAB CTR,1,1,1,3,2,4/1/2016
115479,BRYANT HEALTH AND REHABILITATION CENTER,2,1,5,1,1,4/1/2016
115480,GLENN-MOR NURSING HOME,2,2,3,2,2,4/1/2016
115481,FOUR COUNTY HEALTH AND REHABILITATION,2,3,2,1,1,4/1/2016
115516,PRUITTHEALTH - LILBURN,1,1,2,3,4,4/1/2016
115522,ORCHARD HEALTH AND REHABILITATION,4,4,4,2,2,4/1/2016
115532,SOCIAL CIRCLE NSG & REHAB CTR,3,2,4,4,4,4/1/2016
115542,SADIE G. MAYS HEALTH & REHABILITATION CENTER,4,3,5,3,3,4/1/2016
115546,SAVANNAH SQUARE HEALTH CENTER,4,3,5,,,4/1/2016
115552,"LODGE, THE",2,2,4,3,2,4/1/2016
115550,LILLIAN G CARTER HEALTH AND REHABILITATION,5,4,5,2,3,4/1/2016
115556,"BRIGHTMOOR HEALTH CARE, INC",2,2,4,3,2,4/1/2016
115558,DADE HEALTH AND REHAB,2,3,1,2,3,4/1/2016
115564,PINEHILL NURSING CENTER,1,1,4,1,1,4/1/2016
115566,RIVER TOWNE CENTER,4,4,4,2,3,4/1/2016
115571,CARTERSVILLE HEIGHTS,5,4,5,3,4,4/1/2016
115593,BAYVIEW NURSING HOME,3,4,1,3,2,4/1/2016
115615,"BAPTIST VILLAGE, INC.",5,4,5,3,2,4/1/2016
115627,"OAKS NURSING HOME, INC, THE",5,5,5,3,2,4/1/2016
115644,KEYSVILLE NURSING HOME & REHAB CENTER,1,1,3,3,3,4/1/2016
115641,RIVERVIEW HEALTH & REHAB CTR,3,3,3,2,2,4/1/2016
115658,PRUITTHEALTH - GREENVILLE,4,3,5,2,2,4/1/2016
115654,LIFE CARE CENTER,1,1,3,1,1,4/1/2016
115679,VERO HEALTH AND REHAB OF WADLEY,2,3,2,1,1,4/1/2016
115686,NANCY HART NURSING CENTER,2,2,5,1,1,4/1/2016
115695,UNION COUNTY NURSING HOME,5,5,5,3,2,4/1/2016
115701,CHATUGE REGIONAL NURSING HOME,1,1,3,1,2,4/1/2016
115708,CHURCH HOME REHABILITATION AND HEALTHCARE,5,4,5,4,3,4/1/2016
115712,SEMINOLE MANOR NURSING HOME,3,3,2,3,2,4/1/2016
115723,SALUDE - THE ART OF RECOVERY,5,4,5,4,4,4/1/2016
11A200,GRACEWOOD NSG FACILITY(UNIT 9),4,3,5,,,4/1/2016
115725,HARRINGTON PARK HEALTH AND REHABILITATION,,,,,,4/1/2016
115726,MEADOWS PARK HEALTH AND REHABILITATION,,,,,,4/1/2016
125004,GARDEN ISLE HEALTHCARE AND REHABILITATION CENTER,5,4,5,4,5,4/1/2016
125021,KAUAI VETERANS MEMORIAL HOSPITAL,5,4,5,5,5,4/1/2016
125028,KAU HOSPITAL,4,3,5,,,4/1/2016
125030,KAHUKU MEDICAL CENTER,3,3,,,,4/1/2016
125031,KOHALA HOSPITAL,4,4,1,5,5,4/1/2016
125032,HALE HO'OLA HAMAKUA,3,2,4,5,5,4/1/2016
125033,HARRY AND JEANETTE WEINBERG CARE CENTER,5,3,5,4,5,4/1/2016
125051,KA PUNAWAI OLA,4,3,5,3,5,4/1/2016
125052,LIFE CARE CENTER OF KONA,3,2,5,3,5,4/1/2016
125065,REGENCY HILO REHABILITATION & NURSING CENTER,,,,,,4/1/2016
135058,GOOD SAMARITAN SOCIETY - SILVER WOOD VILLAGE,4,4,4,4,5,4/1/2016
135051,KINDRED NURSING & REHABILITATION - CANYON WEST,3,3,3,3,3,4/1/2016
135069,BELL MOUNTAIN VILLAGE & CARE CENTER,2,1,4,5,5,4/1/2016
135090,MARQUIS CARE AT SHAW MOUNTAIN,2,2,1,5,5,4/1/2016
135098,VALLEY VIEW NURSING & REHABILITATION,5,5,5,3,5,4/1/2016
135137,PROMONTORY POINT REHABILITATION,4,2,5,4,3,4/1/2016
145004,CITADEL CARE CENTER-ELGIN,5,4,5,3,5,4/1/2016
135139,RIVERVIEW REHABILITATION,2,2,4,3,2,4/1/2016
145031,HEARTLAND OF NORMAL,3,2,4,4,5,4/1/2016
145058,HERITAGE HEALTH-CHILLICOTHE,4,4,2,2,2,4/1/2016
145070,COURTYARD HEALTHCARE CENTER,1,1,2,1,1,4/1/2016
145173,HEATHER HEALTH CARE CENTER,1,1,4,1,1,4/1/2016
145190,HEARTLAND OF CHAMPAIGN,1,1,4,3,3,4/1/2016
145237,GENERATIONS AT REGENCY,1,1,2,2,3,4/1/2016
145257,CRYSTAL PINES REHAB & HCC,2,2,2,2,4,4/1/2016
145244,LAKE SHORE HLTHCARE &REHAB CTR,1,1,1,3,3,4/1/2016
145256,LAKELAND REHAB & HEALTHCARE CENTER,3,3,2,3,3,4/1/2016
145273,JACKSONVILLE SKILLED NURSING & REHAB,5,4,5,2,3,4/1/2016
145289,HELIA HEALTHCARE OF BELLEVILLE,1,1,4,2,2,4/1/2016
145319,HERITAGE HEALTH-EL PASO,1,1,1,4,5,4/1/2016
145323,CARRIER MILLS NURSING & REHAB CENTER,4,4,4,2,4,4/1/2016
145329,NORRIDGE GARDENS,3,3,4,3,4,4/1/2016
145336,WARREN BARR LIVING & REHAB CTR,2,2,4,3,4,4/1/2016
145424,GLENSHIRE NURSING & REHAB CTRE,1,1,1,2,4,4/1/2016
145437,COLONIAL HLTHCARE & REHAB CTR,4,4,3,2,3,4/1/2016
145438,COLLINSVILLE REHABILITATION & HEALTH CARE CENTER,1,1,1,1,1,4/1/2016
145439,CHAMPAIGN URBANA NRSG & REHAB,1,1,4,2,3,4/1/2016
145442,TOULON REHAB & HEALTH CARE CENTER,1,1,1,3,3,4/1/2016
145440,GENERATIONS AT NEIGHBORS,1,1,1,4,4,4/1/2016
145466,TWIN LAKES REHAB & HEALTH CARE,1,2,2,1,2,4/1/2016
145502,TAYLORVILLE CARE CENTER,4,4,3,2,2,4/1/2016
145538,BEECHER MANOR NRSG & REHAB CTR,1,2,1,2,4,4/1/2016
145552,FAIRFIELD MEMORIAL HOSPITAL,5,5,5,5,5,4/1/2016
145555,EDWARDSVILLE NURSING & REHABILITATION CENTER,1,2,1,1,2,4/1/2016
145566,ALTON MEM HSP HATCH SK N W,5,5,2,5,5,4/1/2016
145564,TRINITY MEDICAL CENTER - WEST,5,5,4,5,5,4/1/2016
145571,CEDAR RIDGE HEALTH REHAB CENTER,1,1,4,3,2,4/1/2016
145602,"VILLAGE AT VICTORY LAKES, THE",2,1,4,5,5,4/1/2016
145597,PEKIN MANOR,2,2,3,3,3,4/1/2016
145614,CHATEAU NRSG & REHAB CENTER,5,4,5,2,3,4/1/2016
145637,ST JOSEPH VILLAGE OF CHICAGO,4,4,4,4,5,4/1/2016
145643,BLESSING HOSPITAL SNU,4,4,1,5,5,4/1/2016
145655,INTEGRITY HC OF WOOD RIVER,2,2,2,3,3,4/1/2016
145660,WESTCHESTER HEALTH & REHABILITATION,1,1,3,1,2,4/1/2016
145667,AVANTARA PARK RIDGE,5,3,5,4,4,4/1/2016
145669,GLENLAKE TERRACE NURSING & REH,3,2,3,5,5,4/1/2016
145673,APOSTOLIC CHRISTIAN HOME OF EUREKA,5,5,5,5,5,4/1/2016
145681,PROVIDENCE PALOS HEIGHTS,3,2,5,3,5,4/1/2016
145680,ROSEWOOD CARE CENTER OF MOLINE,4,4,2,2,4,4/1/2016
145699,SHERMAN WEST COURT,5,4,5,5,5,4/1/2016
145708,COUNTRY HEALTH,4,4,2,3,4,4/1/2016
145718,SYMPHONY OF CRESTWOOD,2,1,5,2,3,4/1/2016
145759,ROSICLARE REHAB & HCC,5,5,5,2,4,4/1/2016
145783,SUNRISE SKILLED NURSING & REHAB,4,3,5,3,4,4/1/2016
145784,BRIAR PLACE,2,2,4,2,3,4/1/2016
145811,HEIGHTS HLTHCARE & REHAB CTR,2,2,4,2,2,4/1/2016
145819,SYMPHONY OF BUFFALO GROVE,5,4,5,3,4,4/1/2016
145836,SHELBYVILLE REHAB & HLTH C CTR,4,3,4,4,3,4/1/2016
145840,TABOR HILLS HEALTH CARE FAC,5,4,5,5,5,4/1/2016
145853,CENTRAL BAPTIST VILLAGE,5,3,5,5,5,4/1/2016
145862,HILLTOP SKILLED NURSING AND REHABILITATION,4,3,5,3,2,4/1/2016
145877,APERION CARE DOLTON,4,3,5,2,3,4/1/2016
145879,TRI-STATE NURSING & REHAB CTR,2,3,4,1,2,4/1/2016
145905,JONESBORO REHAB & HCC,4,4,3,4,4,4/1/2016
145901,LEMONT NURSING & REHAB CENTER,1,1,2,2,3,4/1/2016
145918,APERION CARE BRIDGEPORT,1,1,1,2,4,4/1/2016
145914,SOUTHPOINT NURSING & REHAB CENTER,2,1,5,1,1,4/1/2016
145917,FAIR OAKS HEALTH CARE CENTER,5,3,5,5,5,4/1/2016
145927,WINDMILL NURSING PAVILION,2,2,3,2,3,4/1/2016
145930,GOOD SAMARITAN - PONTIAC,5,4,5,5,5,4/1/2016
145935,PRESENCE ST JOSEPH CENTER,3,2,5,3,5,4/1/2016
145942,OAK LAWN RESPIRATORY & REHAB,3,3,2,2,3,4/1/2016
145946,ARIA POST ACUTE CARE,2,1,5,4,4,4/1/2016
145947,APERION CARE MIDLOTHIAN,2,2,5,1,1,4/1/2016
145953,PRAIRIEVIEW LUTHERAN HOME,5,4,5,,,4/1/2016
145960,PRESENCE RESURRECTION LIFE CTR,5,4,5,3,5,4/1/2016
145985,UNIVERSITY NURSING & REHABILITATION,4,4,3,3,3,4/1/2016
145979,GIBSON COMMUNITY HSP ANNEX,5,5,2,,,4/1/2016
145981,SWANSEA REHAB HEALTH CARE,1,1,1,1,2,4/1/2016
146006,INTEGRITY HC OF ANNA,2,2,3,2,3,4/1/2016
146009,SELFHELP HOME OF CHICAGO,5,5,4,5,5,4/1/2016
146014,MERCY HARVARD HOSPITAL CARE CENTER,5,5,5,5,5,4/1/2016
146026,LEWIS MEMORIAL CHRISTIAN VLG,2,1,4,4,4,4/1/2016
146034,SYMPHONY AT THE TILLERS,5,3,5,5,5,4/1/2016
146038,PRAIRIE CITY REHAB & H C,2,1,2,4,5,4/1/2016
146052,ALHAMBRA CARE CENTER,2,3,1,2,4,4/1/2016
146074,MASON POINT,1,2,1,3,2,4/1/2016
146088,HELIA HEALTHCARE OF BENTON,1,1,4,2,4,4/1/2016
146096,RIDGEVIEW CARE CENTER,3,4,1,4,3,4/1/2016
146106,SCOTT COUNTY NURSING CENTER,5,5,3,4,4,4/1/2016
146108,MANOR COURT OF PEORIA,4,4,3,4,4,4/1/2016
146119,MEADOWOOD,2,2,1,4,4,4/1/2016
146131,CISNE REHABILITATION & HEALTH CENTER,4,4,4,3,4,4/1/2016
146134,SALINE CARE CENTER,5,5,2,2,3,4/1/2016
146130,HILLCREST RETIREMENT VILLAGE,3,3,2,2,3,4/1/2016
146151,"CLAYBERG, THE",2,2,3,3,3,4/1/2016
146166,GREENFIELDS OF GENEVA,4,4,4,4,5,4/1/2016
146168,WINFIELD WOODS HEALTHCARE CTR,2,2,4,2,4,4/1/2016
146171,MANOR COURT OF CARBONDALE,2,1,3,4,3,4/1/2016
146173,"SPRINGS AT MONARCH LANDING, THE",5,5,4,,,4/1/2016
14A539,JENNINGS TERRACE,5,5,,,,4/1/2016
1.40E+213,FRANKFORT TERRACE NURSING CTR,2,2,5,1,2,4/1/2016
14E847,APERION CARE SPRINGFIELD,2,1,5,1,2,4/1/2016
14E717,BETHALTO CARE CENTER,1,2,4,1,2,4/1/2016
155061,WOODLAND HILLS CARE CENTER,3,3,1,4,3,4/1/2016
155214,ST ANTHONY HOME - CROWN POINT,2,2,4,3,3,4/1/2016
155233,"WATERS OF BATESVILLE, THE",3,3,1,4,3,4/1/2016
155240,LYONS HEALTH AND LIVING CENTER,3,3,3,3,5,4/1/2016
155254,SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER,2,2,3,3,3,4/1/2016
155269,EAST LAKE NURSING & REHABILITATION CENTER,4,3,5,3,3,4/1/2016
155272,KINDRED TRANSITIONAL CARE & REHAB-ALLISON POINTE,3,2,5,2,2,4/1/2016
155271,MILLER'S SENIOR LIVING COMMUNITY,4,3,5,3,5,4/1/2016
155322,RENAISSANCE VILLAGE,2,2,3,2,3,4/1/2016
155323,LAKEVIEW VILLAGE SENIOR LIVING,1,1,1,5,5,4/1/2016
155331,LIFE CARE CENTER OF VALPARAISO,3,3,4,3,4,4/1/2016
155324,MITCHELL MANOR,5,4,5,2,4,4/1/2016
155370,NEW HARMONIE HEALTHCARE CENTER,3,2,5,3,3,4/1/2016
155390,GOLDEN LIVING CENTER-WOODBRIDGE,3,2,5,3,3,4/1/2016
155432,ALBANY HEALTH CARE & REHABILITATION CENTER,5,4,5,3,3,4/1/2016
